,year,state,sector,sub_sector,sub_sector_category,food_type,food_category,tons_surplus,tons_supply,us_dollars_surplus,tons_waste,tons_uneaten,tons_donations,tons_industrial_uses,tons_animal_feed,tons_anaerobic_digestion,tons_composting,tons_not_harvested,tons_incineration,tons_land_application,tons_landfill,tons_sewer,tons_dumping,surplus_upstream_100_year_mtco2e_footprint,surplus_downstream_100_year_mtco2e_footprint,surplus_total_100_year_mtco2e_footprint,surplus_upstream_100_year_mtch4_footprint,surplus_downstream_100_year_mtch4_footprint,surplus_total_100_year_mtch4_footprint,gallons_water_footprint,meals_wasted,social_cost_of_carbon,Average Temperature,Total CDD,Total HDD,Total Precipitation,Avg PDSI
0,2024,California,Farm,Not Applicable,Not Applicable,Produce,Apples,41089.255,107431.96,31387479.95,32359.747188155,40462.705961972,626.549038028,0.0,8102.9587738169985,0.0,0.0,28931.96,9.237933255122508,0.0,327.5267299798776,0.0,3091.02252492,8528.559921097605,-1071.033532941216,7457.52638815639,30.002469856077813,2.941960880301025,32.94443073637884,1293451868.0915563,67437843.26995333,2413792.0500548547,60.449999999999996,1192,2717,26.09,-0.9474999999999999
1,2024,California,Farm,Not Applicable,Not Applicable,Produce,Apricots,13674.28945426,43075.98,18025497.487789195,10803.315803037718,13468.229064814415,206.0603894455848,0.0,2664.9132617766963,0.0,0.0,9675.98,3.038185375264742,0.0,107.71748328895583,0.0,1016.5801343734976,2838.638487057946,-358.4792369053897,2480.1592501525565,9.985996044839617,0.9675565166240232,10.953552561463638,430492913.5864342,22447048.44135736,802778.5954095193,60.449999999999996,1192,2717,26.09,-0.9474999999999999
2,2024,California,Farm,Not Applicable,Not Applicable,Produce,Artichokes,3568.152,35817.6,7207667.04,2598.118798968,3500.0490373632,68.10296263680002,0.0,901.9302383952,0.0,0.0,2217.6,0.981604987458031,0.0,34.802359228541974,0.0,344.73483475200004,738.4992549185619,-80.71540060770727,657.7838543108546,2.5979534457651488,0.3106853613084108,2.90863880707356,112104941.78168488,5833415.062272,212885.63334449995,60.449999999999996,1192,2717,26.09,-0.9474999999999999
3,2024,California,Farm,Not Applicable,Not Applicable,Produce,Asparagus,1469.9042868840002,4841.9162,6379541.8140912,1205.59705409198,1451.3481121259392,18.556174758060827,0.0,245.7510580339592,0.0,0.0,1101.9162,0.2674602247158744,0.0,9.482680853133298,0.0,93.9307130141308,305.69117129988257,-41.29449557271744,264.39667572716513,1.0753855559489929,0.0846531727254829,1.160038728674476,46332415.89896625,2418913.5202098987,85636.05314243096,60.449999999999996,1192,2717,26.09,-0.9474999999999999
4,2024,California,Farm,Not Applicable,Not Applicable,Produce,Avocados,95507.9633674,250756.42,272467824.3872136,75222.03063956901,94051.9670031059,1455.996364294096,0.0,18829.936363536897,0.0,0.0,67256.42,21.46742938969896,0.0,761.1179638241251,0.0,7183.025246355182,19823.860123197323,-2489.8096076413985,17334.050515555922,69.73800633164642,6.836630631651091,76.57463696329751,3006508282.0922933,156753278.33850986,5610548.790240497,60.449999999999996,1192,2717,26.09,-0.9474999999999999
5,2024,California,Farm,Not Applicable,Not Applicable,Produce,Bell Peppers,47504.65,252504.65,64568320.28,47504.65,47504.65,0.0,0.0,0.0,0.0,0.0,47504.65,0.0,0.0,0.0,0.0,0.0,9971.912481809675,-1842.3917848972949,8129.520696912382,35.0800142592464,0.0,35.0800142592464,1506891497.4144545,79174416.66666667,2637393.823751643,60.449999999999996,1192,2717,26.09,-0.9474999999999999
6,2024,California,Farm,Not Applicable,Not Applicable,Produce,Blueberries,20101.965,56082.0,97958937.185,17933.488537185,19946.325430044,155.639569956,0.0,2012.836892859,0.0,0.0,17082.0,2.2947732289794764,0.0,81.36014311602054,0.0,767.83362084,4195.679747713647,-649.8177494351145,3545.861998278532,14.759907454614492,0.7308055689919742,15.490713023606467,635184432.8399216,33243875.71674,1148965.8334804052,60.449999999999996,1192,2717,26.09,-0.9474999999999999
7,2024,California,Farm,Not Applicable,Not Applicable,Produce,Broccoli,94936.45,700436.45,154273063.966474,94936.45,94936.45,0.0,0.0,0.0,0.0,0.0,94936.45,0.0,0.0,0.0,0.0,0.0,19928.53269592977,-3681.958199193401,16246.57449673637,70.10623212090253,0.0,70.10623212090253,3011472125.3543067,158227416.66666666,5270743.114177383,60.449999999999996,1192,2717,26.09,-0.9474999999999999
8,2024,California,Farm,Not Applicable,Not Applicable,Produce,Cabbage,133668.9905625,397214.7175,137418101.5518871,119785.75124817633,132694.2922456844,974.6983168156,0.0,12908.540997508084,0.0,0.0,114339.7175,14.048856202566189,0.0,498.0958191522464,0.0,4933.8890728215,27908.669252003245,-4358.762192482807,23549.90705952044,98.17941313692634,4.446568651374951,102.62598178830127,4224645019.877578,221157153.74280733,7632749.978462487,60.449999999999996,1192,2717,26.09,-0.9474999999999999
9,2024,California,Farm,Not Applicable,Not Applicable,Produce,Cantaloupe,37594.7,352194.7,20225972.5,37594.7,37594.7,0.0,0.0,0.0,0.0,0.0,37594.7,0.0,0.0,0.0,0.0,0.0,7891.670777068986,-1458.0502421484705,6433.620534920516,27.76196881930696,0.0,27.76196881930696,1192538704.6920078,62657833.33333333,2087206.8226120155,60.449999999999996,1192,2717,26.09,-0.9474999999999999
