Date,Value
10/1/24,-2.61
11/1/24,-1.78
12/1/24,-1.67
1/1/25,-2.57
2/1/25,-1.89
3/1/25,-1.42
4/1/25,-1.79
5/1/25,-2.05
6/1/25,-2.63
7/1/25,-3.03
8/1/25,-2.94
9/1/25,-2.37
10/1/25,-1.88
11/1/25,-1.27
12/1/25,-0.79
1/1/26,-1.12
2/1/26,-0.9
3/1/26,-2.61
