,year,Locations State Code,Location State Abbreviation,Location County Code,Location County Name,Commodity Code,Commodity Name,Insurance Plan Code,Insurance Plan Abbreviation,Stage Code,Damage Cause Code,Damage Cause Description,Month of Loss,Month of Loss Abbreviation,Determined Acres,Indemnity Amount,month_year,Average Temperature,Total CDD,Total HDD,Total Precipitation,Avg PDSI
33,2016,6,CA,13,Contra Costa,87,TOMATOES,90.0,APH,3,12,Heat,6.0,JUN,332.4,118867.2,2016-06-01,73.5,201,14,0.27,-1.88
34,2016,6,CA,13,Contra Costa,87,TOMATOES,90.0,APH,3,12,Heat,7.0,JUL,27.6,15004.8,2016-07-01,76.8,282,1,0.06,-2.3
35,2016,6,CA,17,El Dorado,53,GRAPES,90.0,APH,H,12,Heat,5.0,MAY,1.683,1355.07,2016-05-01,62.2,33,159,0.77,-1.89
36,2016,6,CA,17,El Dorado,53,GRAPES,90.0,APH,H,12,Heat,7.0,JUL,8.857,4222.73,2016-07-01,76.8,282,1,0.06,-2.3
37,2016,6,CA,17,El Dorado,53,GRAPES,90.0,APH,H,21,Hail,4.0,APR,1.078,259.7,2016-04-01,57.9,22,213,1.52,-2.1
38,2016,6,CA,17,El Dorado,53,GRAPES,90.0,APH,H,31,Excess Moisture/Precipitation/Rain,3.0,MAR,10.86,4381.2,2016-03-01,52.5,6,337,4.88,-2.08
39,2016,6,CA,17,El Dorado,53,GRAPES,90.0,APH,H,44,Cold Wet Weather,4.0,APR,11.5,4721.0,2016-04-01,57.9,22,213,1.52,-2.1
40,2016,6,CA,17,El Dorado,53,GRAPES,90.0,APH,H,44,Cold Wet Weather,5.0,MAY,7.5,3472.0,2016-05-01,62.2,33,159,0.77,-1.89
41,2016,6,CA,17,El Dorado,53,GRAPES,90.0,APH,UH,44,Cold Wet Weather,4.0,APR,0.6,503.0,2016-04-01,57.9,22,213,1.52,-2.1
42,2016,6,CA,17,El Dorado,53,GRAPES,90.0,APH,H,61,Wind/Excess Wind,4.0,APR,1.122,270.3,2016-04-01,57.9,22,213,1.52,-2.1
43,2016,6,CA,17,El Dorado,54,APPLES,90.0,APH,H,21,Hail,4.0,APR,56.844,62421.12,2016-04-01,57.9,22,213,1.52,-2.1
44,2016,6,CA,17,El Dorado,54,APPLES,90.0,APH,H,61,Wind/Excess Wind,4.0,APR,7.956,17792.88,2016-04-01,57.9,22,213,1.52,-2.1
45,2016,6,CA,17,El Dorado,89,PEARS,90.0,APH,H,21,Hail,4.0,APR,11.8,6341.0,2016-04-01,57.9,22,213,1.52,-2.1
46,2016,6,CA,19,Fresno,12,BLUEBERRIES,90.0,APH,H,12,Heat,6.0,JUN,39.32,345130.7,2016-06-01,73.5,201,14,0.27,-1.88
47,2016,6,CA,19,Fresno,12,BLUEBERRIES,90.0,APH,H,21,Hail,3.0,MAR,1.79,16555.55,2016-03-01,52.5,6,337,4.88,-2.08
48,2016,6,CA,19,Fresno,12,BLUEBERRIES,90.0,APH,H,21,Hail,6.0,JUN,7.1,47130.8,2016-06-01,73.5,201,14,0.27,-1.88
49,2016,6,CA,19,Fresno,12,BLUEBERRIES,90.0,APH,H,31,Excess Moisture/Precipitation/Rain,3.0,MAR,23.09,157947.95,2016-03-01,52.5,6,337,4.88,-2.08
50,2016,6,CA,19,Fresno,13,ONIONS,90.0,APH,3,12,Heat,5.0,MAY,91.12,13237.6,2016-05-01,62.2,33,159,0.77,-1.89
51,2016,6,CA,19,Fresno,13,ONIONS,90.0,APH,3,12,Heat,8.0,AUG,314.3,74034.0,2016-08-01,76.2,267,0,0.06,-2.55
52,2016,6,CA,19,Fresno,13,ONIONS,90.0,APH,3,12,Heat,6.0,JUN,43.2,18217.6,2016-06-01,73.5,201,14,0.27,-1.88
53,2016,6,CA,19,Fresno,13,ONIONS,90.0,APH,P2,13,Failure of Irrigation Supply,3.0,MAR,367.6,259553.0,2016-03-01,52.5,6,337,4.88,-2.08
54,2016,6,CA,19,Fresno,13,ONIONS,90.0,APH,P2,13,Failure of Irrigation Supply,4.0,APR,2585.6,2261633.0,2016-04-01,57.9,22,213,1.52,-2.1
55,2016,6,CA,19,Fresno,13,ONIONS,90.0,APH,3,31,Excess Moisture/Precipitation/Rain,4.0,APR,74.0,18520.0,2016-04-01,57.9,22,213,1.52,-2.1
56,2016,6,CA,19,Fresno,13,ONIONS,90.0,APH,3,31,Excess Moisture/Precipitation/Rain,2.0,FEB,95.0,15841.0,2016-02-01,51.8,10,271,1.21,-2.99
57,2016,6,CA,19,Fresno,13,ONIONS,90.0,APH,3,31,Excess Moisture/Precipitation/Rain,5.0,MAY,644.98,413378.8,2016-05-01,62.2,33,159,0.77,-1.89
58,2016,6,CA,19,Fresno,13,ONIONS,90.0,APH,3,81,Plant Disease,9.0,SEP,130.1,200706.0,2016-09-01,69.5,145,21,0.1,-2.7
59,2016,6,CA,19,Fresno,36,PRUNES,90.0,APH,H,12,Heat,7.0,JUL,27.4,4712.0,2016-07-01,76.8,282,1,0.06,-2.3
60,2016,6,CA,19,Fresno,36,PRUNES,90.0,APH,H,12,Heat,4.0,APR,41.69,15990.15,2016-04-01,57.9,22,213,1.52,-2.1
61,2016,6,CA,19,Fresno,36,PRUNES,90.0,APH,H,12,Heat,6.0,JUN,8.4,1504.0,2016-06-01,73.5,201,14,0.27,-1.88
62,2016,6,CA,19,Fresno,36,PRUNES,90.0,APH,H,21,Hail,3.0,MAR,6.92,2887.2,2016-03-01,52.5,6,337,4.88,-2.08
63,2016,6,CA,19,Fresno,36,PRUNES,90.0,APH,H,31,Excess Moisture/Precipitation/Rain,3.0,MAR,29.08,10145.8,2016-03-01,52.5,6,337,4.88,-2.08
64,2016,6,CA,19,Fresno,36,PRUNES,90.0,APH,H,XX,,4.0,APR,34.11,13082.85,2016-04-01,57.9,22,213,1.52,-2.1
65,2016,6,CA,19,Fresno,52,TABLE GRAPES,90.0,APH,H,12,Heat,4.0,APR,35.69,271924.4,2016-04-01,57.9,22,213,1.52,-2.1
66,2016,6,CA,19,Fresno,52,TABLE GRAPES,90.0,APH,H,12,Heat,7.0,JUL,60.4,138564.0,2016-07-01,76.8,282,1,0.06,-2.3
67,2016,6,CA,19,Fresno,52,TABLE GRAPES,90.0,APH,H,12,Heat,6.0,JUN,24.42,1347.62,2016-06-01,73.5,201,14,0.27,-1.88
